source,target,value
1091,1780,10.0
1093,19027,10.0
1093,195,10.0
1095,3426,10.0
1095,195,10.0
1095,13669,10.0
1095,11714,10.0
1095,750,10.0
1095,241,10.0
1095,7827,10.0
1095,16629,10.0
